overall_pick_number,first_name,player
1,Derek,Josh Jacobs
2,Spencer,David Montgomery
3,Luke,Miles Sanders
4,Josias,Devin Singletary
5,Josiah,Marquez Valdes-Scantling
6,Gary,Kyler Murray
7,Mark,N'Keal Harry
8,Daniel,DK Metcalf
9,Matt,T.J. Hockenson
10,Nick,Darrell Henderson Jr.
11,Derek,Justin Jackson
12,Spencer,Mecole Hardman
13,Luke,Marquise Brown
14,Josias,James Washington
15,Nick,J.J. Arcega-Whiteside
16,Gary,Parris Campbell
17,Mark,NO PICK
18,Daniel,Justice Hill
19,Matt,Rob Gronkowski
20,Nick,A.J. Brown
21,Derek,Tony Pollard
22,Spencer,Dwayne Haskins Jr.
23,Luke,Miles Boykin
24,Josias,Jacoby Brissett
25,Josiah,Nyheim Hines
26,Gary,NO PICK
27,Mark,NO PICK
28,Daniel,NO PICK
29,Matt,NO PICK
30,Spencer,NO PICK
