overall_pick_number,first_name,player
1,Luke,Saquon Barkley
2,Spencer,Royce Freeman
3,Josiah,Calvin Ridley
4,Michael,Rashaad Penny
5,Matt,Kerryon Johnson
6,Nick,Sony Michel
7,Mark,Derrius Guice
8,Jamil,Ronald Jones II
9,Gary,James Washington
10,Daniel,Nick Chubb
11,Luke,Michael Gallup
12,Spencer,Cameron Meredith
13,Josiah,Peyton Barber
14,Michael,Tyrod Taylor
15,Matt,Courtland Sutton
16,Nick,DJ Moore
17,Mark,Christian Kirk
18,Jamil,Sam Darnold
19,Gary,Mike Gesicki
20,Daniel,Anthony Miller
21,Luke,Antonio Callaway
22,Spencer,Cordarrelle Patterson
23,Josiah,Allen Hurns
24,Michael,Danny Amendola
25,Matt,Keelan Cole Sr.
26,Nick,George Kittle
27,Mark,Kalen Ballage
28,Jamil,NO PICK
29,Gary,NO PICK
30,Daniel,NO PICK
