overall_pick_number,first_name,player
1,Luke,Leonard Fournette
2,Matt,Christian McCaffrey
3,Mark,Dalvin Cook
4,Michael,Joe Mixon
5,Gary,Kareem Hunt
6,Daniel,Corey Davis
7,Jamil,Mike Williams
8,Spencer,Kenny Golladay
9,Nick,John Ross III
10,Josiah,Zay Jones
11,Luke,D'Onta Foreman
12,Matt,O.J. Howard
13,Mark,Alvin Kamara
14,Michael,Curtis Samuel
15,Luke,Jamaal Williams
16,Daniel,Samaje Perine
17,Jamil,Cooper Kupp
18,Spencer,ArDarius Stewart
19,Nick,Marlon Mack
20,Josiah,James Conner
21,Luke,Evan Engram
22,Matt,Tarik Cohen
23,Mark,David Njoku
24,Michael,DeShone Kizer
25,Gary,Chris Godwin
26,Daniel,Joe Williams
27,Jamil,NO PICK
28,Spencer,Mitchell Trubisky
29,Nick,Taywan Taylor
30,Josiah,Deshaun Watson
